taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Bacteroides caccae TSDC17.2,2DM6C,506500,1097000,0,1402100,897360,1484300,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2DMBB,2672000,2994300,3141800,3598800,1114700,7224700,8662200,6309100,6885300,2092000,1678800,1271500,0,1608400,3274600,2181600,2079000,3213500,1965200
Bacteroides caccae TSDC17.2,2DQ3B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2DX4F,2068000,2861100,2462200,3450700,3111000,10347000,13639000,20273000,0,1719400,151810,1394100,1294700,1319300,1808600,1618400,1664300,3342600,2712200
Bacteroides caccae TSDC17.2,2E0B9,0,0,16689000,0,1172600,0,0,0,112810,321300,4615800,0,2378700,2318500,2743400,0,2107300,0,0
Bacteroides caccae TSDC17.2,2E1UZ,3865300,1968600,0,4052600,2944900,0,0,0,0,0,0,0,0,1170300,0,0,0,0,0
Bacteroides caccae TSDC17.2,2.00E+252,0,0,0,0,0,559560,699770,0,0,0,0,0,0,0,0,0,265280,0,290300
Bacteroides caccae TSDC17.2,2E5XB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacteroides caccae TSDC17.2,2EAXQ,1334700,0,0,0,0,0,2813600,2637000,0,0,302620,0,0,0,692990,317610,0,1004200,495160
Bacteroides caccae TSDC17.2,2ECPI,0,0,16698000,0,0,0,0,0,0,4589400,3265600,2731000,522380,0,1472300,0,3253300,1833600,0
