,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
NZ.L.48.3,0.3241141141733359,0.7427943817076361,0.2515266868394882,0.29973874387370547,0.18244122903083476,0.26033704680545583,0.30823547833041764,0.18553329924319084,0.3051425431098261,0.46090717635422346,0.0,0.8070073210348998,0.2731828279506209,0.28683993237287747,0.2209179862065422,0.7795683687376753,0.1502081337435273,0.2256768163004478,0.1844550633803028,0.1695481652650633,0.2511892426062592,0.8428006936000788,0.1522417907247979,0.7748230605732328,0.2779387169435696,0.4010337563122207,0.3944636938053202,0.1935838117646827,0.1469716846959337,0.20206880688908369,0.18637222559120672,0.2173397734709263,0.23178121415272054,0.4177598313008597,0.24093482703231958,0.18755551700587642,0.26850633486537395,0.3680338362694751,0.7482582555407923,0.27717232146342474,0.8363908838956017,0.8469629377539174,0.3165733319425855,0.31333463351686996,0.40606532779832405,0.2151406810096279,0.842968518160006,0.3797026539326472
CP.H.48.3,0.7330209551006217,0.8504917393434557,0.7496578566925342,0.8006281157008135,0.8065168025343002,0.7943568396331769,0.7594760894459213,0.7943229279629442,0.7418343477643087,0.8523674731640377,0.8070073210348998,0.0,0.7515549718405897,0.7527139749302834,0.7962941488304056,0.8594344302021248,0.8005833554116236,0.8056974591643075,0.7869229008712592,0.7991016878469263,0.7496332436813264,0.55055442401588,0.8140299993720472,0.3994888138748753,0.7781592867711631,0.7363215109252539,0.8336289583954026,0.8263464950008304,0.7960422908993102,0.7821096120174452,0.7966000399870395,0.7981128707366116,0.8047121781994628,0.8269706711289958,0.7996083363253962,0.8095144533403701,0.779535608875448,0.8297144203510362,0.8567866252099068,0.751284034651873,0.4097190792763398,0.41048817681332955,0.7394435688540225,0.7467240071300048,0.7653784393447663,0.8143889739524953,0.47269990871280826,0.8165090603788016
NZ.H.48.3,0.26238063445793036,0.7146921223955895,0.1988409722028932,0.3507625014547072,0.2920343902197743,0.3076774235041229,0.2752811629094949,0.26171543704414246,0.1831426297245383,0.48695312733659935,0.2731828279506209,0.7515549718405897,0.0,0.2685446253964502,0.31743737198036825,0.7638238474272866,0.27644382333602696,0.2964959142654568,0.25760732566004657,0.2926422756797717,0.2635021660709497,0.808465977421374,0.2945284655600211,0.7186491287103777,0.28252981842904995,0.3413349344772879,0.442086446480331,0.31063927927731927,0.26502089112563765,0.2378588494476538,0.24058068896070553,0.305026255229165,0.3107809511288433,0.48137066869551154,0.3287006432135395,0.2966302995295355,0.2577398711772473,0.41912625437269857,0.7298007043789654,0.27262733026457187,0.7798736944532919,0.8029272893139078,0.2463553649515658,0.28096602684518923,0.40617219158657153,0.3266366814122153,0.7935942108743703,0.4561495932740809
DC.M.48.2,0.17346823723994864,0.6692404284771359,0.22751525813747575,0.31806534520744484,0.27582924106305506,0.3295333193860572,0.3259892563071044,0.27280413764955197,0.267549988985472,0.48602943659022924,0.28683993237287747,0.7527139749302834,0.2685446253964502,0.0,0.3177316205721368,0.7170907116822985,0.2838193237872684,0.31957549357876225,0.2763456564023205,0.284049200990887,0.2441081544446666,0.804110315355974,0.2954162878784064,0.7282068298638741,0.305161073558416,0.3401805863037544,0.40446802144952576,0.30431770745060965,0.28765153595247467,0.2972781907976181,0.3044511488655445,0.2731908495848907,0.3243381050269105,0.39342151919720014,0.34644811097308054,0.3101762462834544,0.2676648607016625,0.36228125642022024,0.6779181669961096,0.25652325753734656,0.779376097802083,0.8009093700066118,0.269411585135516,0.1719343867442523,0.3393937517266701,0.31207003942160777,0.800422848251954,0.3539287208251893
NC.1D.48.1,0.35148672358576566,0.730169302297363,0.28037044241214965,0.2895205872624058,0.24383956236727952,0.2577814380423473,0.32921615577648344,0.1994780917811487,0.3393499155982018,0.43410063269297483,0.2209179862065422,0.7962941488304056,0.31743737198036825,0.3177316205721368,0.0,0.769445544823126,0.20621322380389545,0.23519445674293102,0.24290536551664166,0.18966250510431737,0.29411921261729124,0.829277068694058,0.202095907917216,0.7691912412769312,0.30279877877181943,0.4212502637647271,0.3823779289614461,0.21382018607804032,0.22772962937863844,0.2597219294446025,0.25362224182104626,0.18696159359128617,0.24855858984961737,0.42406719171452717,0.26453403641949835,0.22311265497092833,0.2874834736696854,0.3740935721799047,0.7421441743200491,0.31663396657673304,0.8304750156397891,0.8445629865756815,0.36488858353073717,0.35799650609047023,0.42225655308876564,0.2153352994907376,0.8443063222515156,0.3897913431334572
DC.H.48.2,0.7143654128418079,0.30728086002769384,0.7409555420936584,0.7784467644264449,0.7437728212600788,0.8017037495908804,0.7909629446505916,0.7723401427806534,0.7730351219705767,0.871923206819021,0.7795683687376753,0.8594344302021248,0.7638238474272866,0.7170907116822985,0.769445544823126,0.0,0.7680049781322579,0.7865886729004229,0.7643897520868991,0.7691155290197497,0.76349014996998,0.8883984724076093,0.7785431387853657,0.853357493796616,0.7943605367398638,0.7562389796401027,0.8564976056773155,0.7815187794642298,0.789082246586345,0.7879539993504617,0.781036522630738,0.7717829840482406,0.7824013962869464,0.6256611297545236,0.8008139345135248,0.7957884353128747,0.7807466988448042,0.812953661551973,0.25108872051752534,0.7749469181167424,0.8677849312617074,0.8938787925449222,0.7537318101668928,0.7002157932231554,0.6598894145038371,0.7604678055355708,0.9301727769290866,0.6479305357491585
PR.L.48.3,0.31640072780107,0.7282023201310532,0.23469297630747982,0.2946779470281073,0.16735237108857406,0.26308833044621455,0.31862174147390726,0.19465109349916485,0.30367483794778216,0.45238039312925377,0.1502081337435273,0.8005833554116236,0.27644382333602696,0.2838193237872684,0.20621322380389545,0.7680049781322579,0.0,0.22194684181463026,0.20074476360029656,0.19537883568510347,0.2598218896373515,0.8369365781127167,0.13788783774701366,0.771775455806906,0.28441361655144765,0.4099011877064827,0.3888600435671815,0.18508764368618272,0.15924643547048642,0.2265885977989188,0.20139237003966642,0.18948401321700623,0.22992768105621833,0.39890780365956807,0.24672450246964692,0.21132779171684732,0.2707093978302666,0.36453154006067845,0.7376081917286741,0.27512065137001795,0.8301427387211306,0.838049112088266,0.3138437534925268,0.2992413242679831,0.40155280170569296,0.19686861328348446,0.8411023323509974,0.36296022130905653
PR.M.48.1,0.3531049547492509,0.7458405157369264,0.27847382584256886,0.2573346441086462,0.2629362568980744,0.1920388926561508,0.28371825386478167,0.226118756014142,0.34272836123557254,0.4535439952903043,0.2256768163004478,0.8056974591643075,0.2964959142654568,0.31957549357876225,0.23519445674293102,0.7865886729004229,0.22194684181463026,0.0,0.22493593337187423,0.21851730272843412,0.2776252022072231,0.8401370389165531,0.20674535013334622,0.7784702200255318,0.24166474815559053,0.4133322207230593,0.40950715975713947,0.17837130501526768,0.2163352549266406,0.2209958804850767,0.19554236237737094,0.2194151504076509,0.21646788421185845,0.41626859589708975,0.26054047003013947,0.19686347541257077,0.2350322545311067,0.3840940393364053,0.7586473810275138,0.2807513941301743,0.8345425236834854,0.8467254756314012,0.3458803885449244,0.35948683046359453,0.40465249971548145,0.23554993002339536,0.8472797684912269,0.3905633616714794
DC.L.48.1,0.30546693235935307,0.7266145057394326,0.2461582499113424,0.2613877702594681,0.20840552768883994,0.2470097158479799,0.29298935558945444,0.20144167003015778,0.28707327009073874,0.4579452899784693,0.1844550633803028,0.7869229008712592,0.25760732566004657,0.2763456564023205,0.24290536551664166,0.7643897520868991,0.20074476360029656,0.22493593337187423,0.0,0.17873114266871476,0.2618138566811275,0.8316243613662924,0.20346701007478804,0.7627450735999649,0.2864272268723606,0.3878290207148167,0.4150778641598739,0.2174718451287875,0.21043112996439467,0.20280226421109432,0.19013134890139152,0.20138968629149093,0.2100280031552828,0.38978450305626466,0.22625594083785996,0.21851922390882597,0.26123443021176723,0.3873385033351378,0.7390227483293667,0.29332349546030007,0.8173818990150222,0.83497381859076,0.3124872933949762,0.30843879032445415,0.3636863657773469,0.2117934193852944,0.8325225354026776,0.34676949275829166
PR.M.48.2,0.32428585468834104,0.7276801477160582,0.269265982388467,0.2531747832764341,0.20762240919159328,0.2346631143648516,0.3063520303192542,0.15467003213730815,0.317666957212857,0.4465267866429627,0.1695481652650633,0.7991016878469263,0.2926422756797717,0.284049200990887,0.18966250510431737,0.7691155290197497,0.19537883568510347,0.21851730272843412,0.17873114266871476,0.0,0.2611381704555614,0.8365731763651181,0.17705545337692344,0.7777023613657825,0.271733955956956,0.40425471232539095,0.3929749618901307,0.1945805040937333,0.20067313626125127,0.23466472319600187,0.21155672683971904,0.1619779878983995,0.23112019119208724,0.41195604007496667,0.24148931762822562,0.1970632099647592,0.2583925368293927,0.3643597637123257,0.7410023974057327,0.29325285588430966,0.8267587719655289,0.8447172604391076,0.3461148891309896,0.33137496518560305,0.3964094703184269,0.20183350894395724,0.8472692797454644,0.3628341783108336
PR.H.48.1,0.26937081113014877,0.7237960492818979,0.2440647479764513,0.3147195353653521,0.27242795959767796,0.2853386040402216,0.3072684197260373,0.2485464276501255,0.2644889074307331,0.470135401937691,0.2511892426062592,0.7496332436813264,0.2635021660709497,0.2441081544446666,0.29411921261729124,0.76349014996998,0.2598218896373515,0.2776252022072231,0.2618138566811275,0.2611381704555614,0.0,0.7939437646061022,0.27787995860082654,0.7125320530225093,0.26885772422333276,0.35095061985327486,0.38357342650183485,0.28081455794754817,0.24053506804792385,0.27064004371605105,0.28156802453983765,0.26789579271581554,0.31621310326677915,0.4227935839630756,0.3514922022612267,0.2528493674839293,0.27383230125693625,0.36703149535435503,0.7287580444671966,0.1915568958736277,0.7809499895254736,0.796545291845419,0.22370245078858084,0.2784806013337524,0.3799659581678277,0.32025964259252726,0.8014274723823726,0.38914101915669996
CP.M.48.1,0.7888576765605675,0.8756312838092314,0.7966315666571794,0.8421663325089895,0.8364580657586612,0.8355793960535622,0.8262820796388562,0.8359188824183408,0.7938733495272817,0.8909532991847426,0.8428006936000788,0.55055442401588,0.808465977421374,0.804110315355974,0.829277068694058,0.8883984724076093,0.8369365781127167,0.8401370389165531,0.8316243613662924,0.8365731763651181,0.7939437646061022,0.0,0.8492414398985627,0.5681019559541116,0.82600974491753,0.7976779254602206,0.8794652687656509,0.8593223118394059,0.8358204290706905,0.8286095543037486,0.8339952727882667,0.8325427544945072,0.8426657064083927,0.851060031447905,0.8495470570711375,0.8523498733761368,0.8148869790572723,0.8653671255602001,0.8811146427665614,0.7956613217208667,0.5739648994002119,0.5461660703505823,0.7898490667586119,0.7985913666733834,0.8183918776817306,0.8460986420509363,0.6097555822363037,0.8532824619888704
