Genome,OG,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0492,24117000,0,26604000,26135000,0,26373000,29884000,34304000,29799000,0,30930000,1881000,23885000,25747000,15630000,0,24300000,23708000,36447000,27149000,29257000,0,32396000,0,31125000,21653000,0,18218000,31109000,29033000,26770000,25063000,0,32802000,40631000,26998000,0,0,0,19184000,0,0,40099000,24318000,36396000,0,0,0
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0674,47350000,61210000,48598000,44322000,42974000,35105000,43983000,38648000,0,0,35460000,33706000,28665000,42728000,21042000,40511000,33745000,23177000,35665000,32620000,30253000,8689600,42068000,24903000,46696000,37570000,0,25126000,35586000,27509000,36154000,33862000,51687000,49133000,35270000,30754000,33895000,0,47642000,53409000,0,29217000,30593000,45559000,41394000,31977000,0,48192000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0745,23796000,9492300,36719000,26886000,50277000,18543000,15317000,38084000,13339000,19076000,50079000,9421200,18917000,21522000,29390000,23631000,30300000,13777000,48703000,19190000,22763000,5857800,51966000,6479500,76328000,25366000,0,27677000,35429000,36574000,36763000,25749000,43638000,34537000,48908000,25832000,22202000,0,25994000,53050000,11583000,10829000,49778000,19724000,33979000,53203000,8803500,26366000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0776,0,0,19211000,0,22210000,0,0,12710000,24104000,0,24262000,0,13810000,0,11655000,0,19925000,8850500,0,0,18805000,0,13686000,0,10077000,13278000,0,0,15814000,12947000,16771000,6534700,13841000,8969400,16849000,8255900,0,0,0,0,0,0,21660000,0,0,16031000,0,11603000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG0822,24594000,13121000,37110000,18904000,44081000,19725000,33142000,31458000,34870000,0,45160000,0,32758000,28184000,16850000,13515000,45493000,24402000,41126000,28557000,26911000,0,38748000,3858900,29224000,28938000,15779000,33691000,41665000,24744000,41211000,26010000,31343000,34910000,40740000,25915000,22166000,0,0,35201000,0,0,58017000,30176000,35352000,42594000,0,27445000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1155,12783000,7476000,15804000,12976000,21744000,12392000,12926000,15387000,17003000,6055600,22698000,0,11981000,18217000,9767400,6699800,17202000,13348000,22155000,12638000,14579000,0,16789000,4304500,19235000,13346000,0,16649000,17581000,31941000,18493000,12711000,23833000,19454000,25625000,18116000,13209000,6122400,0,11915000,4374400,2573900,20137000,13581000,18484000,19477000,2226300,16315000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1209,20739000,11453000,32225000,32380000,28391000,25643000,26417000,28944000,31747000,0,31803000,5692300,29447000,34590000,14700000,6630000,34117000,25514000,35216000,30995000,42419000,0,32748000,5309600,33270000,31401000,7123200,43690000,31073000,25371000,29770000,25716000,28877000,36169000,34578000,30463000,26839000,0,11809000,45457000,0,7044200,48012000,24943000,36813000,16735000,4035100,42167000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1449,26667000,9763300,38704000,39775000,0,27805000,33630000,35696000,44397000,9732500,47979000,6309000,38423000,28455000,26032000,13533000,43907000,32773000,51011000,31286000,40084000,0,28930000,5812100,25798000,45993000,24747000,26839000,40577000,42888000,37339000,22019000,56500000,35048000,35280000,36667000,26172000,0,15097000,49059000,2832300,11507000,46521000,26307000,34430000,29046000,2258900,30029000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1629,10457000,0,32698000,29384000,0,23428000,33110000,33337000,0,0,47047000,3961400,37111000,17089000,20955000,0,55497000,32883000,42264000,29217000,16351000,0,62407000,0,30093000,43487000,0,22201000,46987000,0,0,21720000,0,31738000,0,39020000,21366000,0,0,21303000,2335100,0,0,23245000,26370000,0,0,44693000
p_Bacteroidota_c_Bacteroidia_o_Bacteroidales_f_Tannerellaceae_g_Parabacteroides_s_Parabacteroides_goldsteinii|bin.450,LCOG1866,77573000,23824000,125300000,115730000,185810000,105650000,98765000,106630000,136690000,0,210230000,4724600,109120000,75526000,86554000,16330000,191190000,113460000,116400000,104070000,135630000,0,165570000,3315300,118570000,132080000,0,157530000,198810000,170640000,148900000,108680000,186650000,144990000,130480000,129730000,80104000,0,0,99198000,0,5558500,180910000,86676000,127190000,141430000,0,98938000
