taxon,COG_number,LFQ.intensity.HiSF_14spcs_m04_2_147,LFQ.intensity.HiSF_14spcs_m06_2_148,LFQ.intensity.HiSF_14spcs_m07_2_149,LFQ.intensity.HiSF_14spcs_m10_2_150,LFQ.intensity.HiSF_14spcs_m13_2_151,LFQ.intensity.HiSF_15spcs_m03_1_132,LFQ.intensity.HiSF_15spcs_m07_1_133,LFQ.intensity.HiSF_15spcs_m09_1_134,LFQ.intensity.HiSF_15spcs_m14_1_136,LFQ.intensity.PEFi_14spcs_m00_0_127,LFQ.intensity.PEFi_14spcs_m01_1_128,LFQ.intensity.PEFi_14spcs_m02_1_129,LFQ.intensity.PEFi_14spcs_m04_1_130,LFQ.intensity.PEFi_14spcs_m13_1_131,LFQ.intensity.PEFi_15spcs_m05_2_142,LFQ.intensity.PEFi_15spcs_m08_2_143,LFQ.intensity.PEFi_15spcs_m09_2_144,LFQ.intensity.PEFi_15spcs_m12_2_145,LFQ.intensity.PEFi_15spcs_m14_2_146
Escherichia coli TSDC17.2,COG0360,73596000,17697000,16574000,20714000,39828000,1689400,577490,1636100,425410,28601000,19491000,6858600,13461000,9029900,14790000,11615000,35066000,14257000,16639000
Escherichia coli TSDC17.2,COG0361,16970000,0,4692600,3465200,18129000,403670,736820,1849000,2371600,6853700,5658900,6631600,7434300,7883200,2039900,10925000,6849300,12093000,11506000
Escherichia coli TSDC17.2,COG0362,13540000,24427000,15526000,15409000,25807000,15630000,52597000,27263000,65149000,11052000,9643600,10308000,9560600,9903000,9581800,14366000,16743000,28111000,20058000
Escherichia coli TSDC17.2,COG0363,1602900,2578900,1382300,3561600,5651400,0,7161300,0,5583500,4417600,3082400,3064800,3079300,3285100,1392600,5534700,6376900,4471400,6714400
Escherichia coli TSDC17.2,COG0364,23142000,19368000,21628000,17937000,38184000,19330000,41210000,22922000,35706000,11866000,10104000,11419000,9247800,13995000,11888000,14956000,15266000,32429000,20995000
Escherichia coli TSDC17.2,COG0365,1753500,4679500,1566000,1598100,2609000,2114800,1138800,1986900,2455400,665200,938250,0,0,0,0,695550,803180,996060,1925600
Escherichia coli TSDC17.2,COG0367,0,0,0,0,0,879300,0,0,0,1063700,1209600,1084700,1481900,1487400,542090,2246400,1768200,1562900,2039900
Escherichia coli TSDC17.2,COG0371,65274000,120700000,117690000,106190000,135550000,77393000,120290000,79917000,76606000,71629000,75212000,65269000,51034000,53847000,77972000,71911000,79034000,89099000,95452000
Escherichia coli TSDC17.2,COG0372,23817000,43557000,16546000,30867000,40674000,6652600,9102500,7164900,12507000,9453700,7032200,5588900,4562900,7032300,2735400,5957200,7107800,7239400,15502000
Escherichia coli TSDC17.2,COG0374,23770000,41281000,34273000,29930000,38036000,49852000,45364000,38443000,51694000,23430000,31972000,30444000,20011000,23127000,38727000,32371000,31018000,41353000,43804000
Escherichia coli TSDC17.2,COG0376,34114000,33925000,48782000,39919000,80538000,32483000,26022000,19259000,30346000,21689000,31108000,20450000,20324000,24187000,25480000,30428000,28777000,37137000,36366000
