Taxon,Function,DC.M.48.1,DC.H.48.1,DC.M.48.2,NC.1D.48.1,DC.H.48.2,DC.L.48.1,NC.1D.48.2,DC.L.48.2,DC.L.48.3,DC.H.48.3,DC.M.48.3,NC.1D.48.3
MGYG000000022,LCOG0674,104512979.1,15355820.73,124880572.3,277824079,19509594,139091784,179501948.8,81273524,133387180,32650566.8,76832497.21,201678728.8
MGYG000000022,LCOG0737,113121169.6,69141698.53,121609531.8,160936342.4,105879976,162885749.5,122803816.8,82297729.88,44236564.25,96157409.47,112627067.8,96813880.38
MGYG000000022,LCOG0761,180632198.5,142346411,369239247,352528406,99905548,550671100,586505973,409497053,311186589.1,95262409.77,194513285,251307963
MGYG000000022,LCOG0800,15812393,8538899.227,25733247,39024548,16003466.88,21856860,43308555,27598280,21759152,11979188.35,24993538.11,24830016.1
MGYG000000022,LCOG0813,31959956,14565501.11,14899119,5027064,474921,35623959,17949615,9371064,11576186,0,38794441,5737892
MGYG000000022,LCOG0822,2418322,0,4233598,2980246,0,6475946,1801225,1934217,1717527,0,692306,7512837
MGYG000000022,LCOG1013,104512979.1,15355820.73,124880572.3,277824079,19509594,139091784,179501948.8,81273524,133387180,32650566.8,76832497.21,201678728.8
MGYG000000022,LCOG1014,104512979.1,15355820.73,124880572.3,277824079,19509594,139091784,179501948.8,81273524,133387180,32650566.8,76832497.21,201678728.8
MGYG000000022,LCOG1080,866805929,513035727,1010981553,723372645,426238227,855045402,671163233,703231141,777487617,518791604.4,1078824353,976862082
MGYG000000022,LCOG1082,583073575.5,624730575.4,458690772.2,396906368.2,481543673.3,515240373.8,438430620.3,387485181.2,298332490.6,501981192.1,473184856.5,342403017.2
MGYG000000022,LCOG1109,241198184.7,393080882.9,359011024.2,224750390.2,102794435.6,271462484.6,243376470.4,326197568.6,151596924.6,172494886.7,247303969.2,210742598
MGYG000000022,LCOG1144,109786611.1,30024239.22,126036639.3,277824079,22262734,139091784,179501948.8,81273524,133387180,32650566.8,95469678.21,201678728.8
MGYG000000022,LCOG1185,4611975,10950305,2943913,8337428,13507638,13205628,4500456,8938814,2052087,11705862.44,7252721.01,9863667
MGYG000000022,LCOG1201,16902677,892963,23492292.5,0,3229718,26757331.5,35221577,17203517,24124856,7527480,29580269,19561491
MGYG000000022,LCOG1264,111029153.6,48625756.1,66368319.07,199410015.4,92069655.58,89313582.5,113796469.5,124834912.2,143685956.5,50828742.29,93676389.83,70760673.2
MGYG000000022,LCOG1362,0,0,0,0,11462710,0,0,0,0,9325622.184,0,0
MGYG000000022,LCOG1426,82033277,19597567.05,102084143,0,36842269,0,0,0,0,50574557,12962893,0
MGYG000000022,LCOG1454,20694339,21260724.77,29895669.15,26591632.44,15987257.67,34719460.89,41684923.44,24777955,12583178.11,18837495.5,19915007.19,28128838.89
MGYG000000022,LCOG1506,113121169.6,69141698.53,121609531.8,160936342.4,105879976,162885749.5,122803816.8,82297729.88,44236564.25,96157409.47,112627067.8,96813880.38
MGYG000000022,LCOG1592,17990711.75,24131490.58,18896905.67,30471977.57,9563938.714,78919974.43,66931570.43,44357328.13,11861297,18617081.21,79698483.22,54688019.36
MGYG000000022,LCOG1653,398923191.3,192845128.8,375178233.2,349558344,125402547.1,520973448.2,420046524.3,288307662.2,198951807.7,160113043.9,452783556.3,356705617.7
MGYG000000022,LCOG1866,274372896.6,147304147.5,237389876.1,161775968.1,117607456.8,446804465.2,504405142.4,255076507.3,176059995.8,77484017.38,189353846.7,573549321.7
MGYG000000022,LCOG1879,61474359,14779730.93,68721712.5,84339008,11042462,42222913,66347082,68318231,65588729,10994409,42646648.75,21703069
MGYG000000022,LCOG1883,9748377.5,344038,3834348,0,0,999782.5,2234416,8947268,0,0,693618.5,0
MGYG000000022,LCOG1904,349834857.4,185825098,268027009.7,263474887.1,171494703.3,621979675.1,484581994.4,409040726.6,239497653.5,181243915.5,307638541.8,355439950.8
MGYG000000022,LCOG1912,113121169.6,69141698.53,121609531.8,160936342.4,105879976,162885749.5,122803816.8,82297729.88,44236564.25,96157409.47,112627067.8,96813880.38
MGYG000000022,LCOG1966,57848376.27,70792363.16,55972449.98,110980282.7,79544847.27,96787000.55,47881090.9,42396289.16,23974439.1,59482979.65,65009977.31,51839658.21
MGYG000000022,LCOG2025,249721415.6,87751502.25,201050189.1,181572577.8,430907422.7,194675353.4,191771053.6,125736758.9,171033706,488109692,86620911.55,61218550
MGYG000000022,LCOG2038,427200526,0,514443281,268858295,104778720,679105206,733519237,418379776,311202348,0,532459676,622894600
MGYG000000022,LCOG2258,850401,0,870659,1537317,0,0,0,0,1063929,0,0,0
MGYG000000022,LCOG2365,113121169.6,69141698.53,121609531.8,160936342.4,105879976,162885749.5,122803816.8,82297729.88,44236564.25,96157409.47,112627067.8,96813880.38
MGYG000000022,LCOG2759,4785668,0,10071065,5058487,0,13533035,6214914,4609309,5852644,0,0,0
MGYG000000022,LCOG2878,5273632,14668418.49,1156067,0,2753140,0,0,0,0,0,18637181,0
MGYG000000022,LCOG3250,525069667.5,448250060.1,474515846.3,489770084.2,321003909.5,690843546.2,641666773.3,664169987,374757065.7,309674581.3,484355566.7,682615435.5
MGYG000000022,LCOG3976,2106970,0,2757110,2777895,0,0,0,1105045,0,0,0,0
MGYG000000022,LCOG4109,65930664,21522122,1848676,12462452,0,110827731,0,125180056,74693052,255112,74678929,118298408
MGYG000000022,LCOG4166,402168620.6,289901226.1,335728214.3,468632937.1,345907717.3,428537469.8,339917888.1,322171098.3,255167580.2,296131300.3,398812174.9,299090145.5
MGYG000000022,LCOG4716,10556104,6292643.5,9596712.457,7063981.625,4702910.2,7380872.875,4428546.143,5442550.75,3705354,6585058.512,8557267.991,3895767
MGYG000000022,LCOG4799,1028706364,158383991.5,873954284.8,1182771645,92337999.5,586996037,710073626,677327366.5,293020759,84909973,376874302.8,675893096
MGYG000000022,LCOG5016,14191984,1739414,11756493,4694108,963347,2718876,13161340,6088338,9912893,1819821,4304700,2106483
MGYG000000024,738MN,33921009,0,48659780,43454223,0,17451252,69069962,56185985,31609652,0,12090632,60460572
MGYG000000024,LCOG0050,73559546,3689941,41235762,30522739,0,68940731.19,115099089,101122249.3,22174118,0,61693502,110350790
MGYG000000024,LCOG0149,147274121,0,110617130,186731206,0,210790391,244844526,147761850,221176434,0,93881492,132608171
MGYG000000024,LCOG0215,382313317.8,315548363,347761882,94516994.75,267982942,437434305.1,554671962.5,241770689.3,133829946.5,308321937,426502689,387702082
MGYG000000024,LCOG0228,19026982,0,19125164,16793815,0,17235305,21396033,46151549,27722509,0,19447364,9413775
MGYG000000024,LCOG0256,194164813,1441381,298189149,472078138,0,480636034,699939179,458066572,247506854,7234629,205633727,564439236
MGYG000000024,LCOG0459,175071008,0,232544274,230830622,0,32352284,473890633,326129666,348720007,0,158832084,379898409
MGYG000000024,LCOG0464,29383333,0,17655952,21758661,0,63099657,73677996,34826214,21256562,0,24095706,50534677
MGYG000000024,LCOG0542,29383333,0,17655952,21758661,0,63099657,73677996,34826214,21256562,0,24095706,50534677
MGYG000000024,LCOG0696,109688430,0,97594218,38384554,0,86126814,64853434,52515398,67168039,0,87546712,70871250
MGYG000000024,LCOG1143,296593392,0,315221,215516451,0,337011237,439060086,0,294690330,0,312962312,363927808
MGYG000000024,LCOG1418,33921009,0,48659780,43454223,0,17451252,69069962,56185985,31609652,0,12090632,60460572
MGYG000000024,LCOG1894,296593392,0,315221,215516451,0,337011237,439060086,0,294690330,0,312962312,363927808
MGYG000000024,LCOG2183,31512599,0,28250965,19131524,0,38324713,31001391,12389290,0,0,44748030,17597317
MGYG000000024,LCOG2376,29211754,22383092,18188750.67,523185,19625194,78611326,7761187,4173497,4052703.667,705537,82497267,66208625
MGYG000000024,LCOG3158,28399296,0,110784217,173209529,0,220932526,309510343,232742340,0,0,30420365,131896753
MGYG000000024,LCOG3411,296593392,0,315221,215516451,0,337011237,439060086,0,294690330,0,312962312,363927808
MGYG000000027,LCOG0112,120436222,0,134922224,51060591,0,80374698,74931126,57709322,66544376,0,92925928,50562099
MGYG000000028,LCOG0191,0,3077454,0,0,0,0,0,0,0,0,345934,3044950
MGYG000000028,LCOG0516,0,139532,0,0,0,1253654,0,0,0,0,0,0
MGYG000000028,LCOG0517,0,139532,0,0,0,1253654,0,0,0,0,0,0
MGYG000000028,LCOG0579,426095771,414090268,547863,366215747,56929323,488677555,655711490,468458597,606455,419905152,586407744,511131156
MGYG000000028,LCOG2086,13771575,4355396,13503689,0,18074482,90483964,0,4110850,5737084,17346475,27241207,45543386
MGYG000000028,LCOG2188,465435116,52079632,444978052,557777523,40032274,529679608,556964544,254328104,294250843,50817987,267031784,348081989
MGYG000000028,LCOG3862,8548866,4159900,5950603,2921923,692354,9807641,4895815,7328854,5334395,4136242,5868574,8519578
MGYG000000032,6VZCJ,0,37723165,106092928,95232976,16300289,124632772,189849540,123106404,109491270,29864367,122250073,112114212
MGYG000000032,6XFKZ,13453868,0,8727736,5999430.25,216801,34715744,35739435,20482166,7768992.75,0,22156442,71889184.48
MGYG000000032,6XJRK,97637214,0,104751729,38111594.25,33582231,41936956.33,30987990,51338663.51,24970088,396656,115888821,60702510.92
MGYG000000032,6Z6QY,5747835,0,13198381,33684861,8976836,9965172,213954610,21599483.61,112479,171187,12061414,1906178805
MGYG000000032,75K31,14200814,0,8604227,16273411,17049077,514552,14656724,17296321,2473899,0,12694782,0
MGYG000000032,775TI,59044334.33,19087501,87648060.5,124190549,24800512,137656279.8,261885931,114913140.7,63553616,13518664,270732272.3,251405652
MGYG000000032,LCOG0039,24197936,0,18242854,23523565,0,47532998,63141555,28925207.83,34651930,0,24207769,42910230
MGYG000000032,LCOG0050,37768500,0,31592097.32,59940254.13,0,205165275.6,121914408.6,132513795.6,53092278,0,34478723.75,95617767.14
MGYG000000032,LCOG0055,3120629,0,0,0,0,639625,8520650,526192,0,0,2039303,16707012.53
MGYG000000032,LCOG0056,71681721,73953853,70892588.66,17611200.84,13445515,19727611.57,18658022,167600945,49184559.83,48815011,20598169,21985266.4
MGYG000000032,LCOG0057,5741196.75,1225658,2433790,7177239,5976860,5958402,16906035.8,19350992.76,15069900.88,941470.0468,11143259.17,36248927.7
MGYG000000032,LCOG0059,28795611,32631412,30755035,24490924.5,4286599,105849258,57488090,66580368,19936885.27,13331394,45804925.67,35131056.66
MGYG000000032,LCOG0087,983588,0,393797,578808,0,2412182,1489282.5,2085454,693240.5,0,2344617.5,14459092.26
MGYG000000032,LCOG0090,72044686.67,803474,67215287.37,73125471.75,30865305.5,77771819.25,129332582.3,112003456.9,90291229.35,18690255.5,56682515.04,172581348.2
MGYG000000032,LCOG0103,292552345,168562100,385369543.1,85549366.55,141666262.1,170279662,145228971.3,947976941.3,41133059,69019451,449657378.2,344386722.3
MGYG000000032,LCOG0104,0,0,803525,481533,1094874,2007203,3279538,321482,0,1660077,779497,0
MGYG000000032,LCOG0111,631557.5,280382,995589,2487372.5,1619423.5,1615091.5,2925751.5,3764851,2305356,1001310,417911,2525792.997
MGYG000000032,LCOG0124,232682411,0,87380813,0,118332457,0,0,56650620,0,76175158,206379892,0
MGYG000000032,LCOG0126,59445998,0,336246,29032820,0,156923325,266409719,6724670,29140960,0,330207,160678182.7
MGYG000000032,LCOG0148,767961,0,0,301318,18367657,3312483,15336735,580207,798212,0,5394157,38184928.5
MGYG000000032,LCOG0149,16641605,0,19791978,9437907,0,0,65591612,35898247,20157866,0,0,0
MGYG000000032,LCOG0162,223669393,125714853,257301357.3,454044100.7,124998498,462986667.4,471437912.3,505358034.1,388287976.9,80279533.33,254537787.6,414031751.6
MGYG000000032,LCOG0166,2474271,0,8231457,5840811,1447362,1221951,2961541,13710496,3786381,0,3004310,10131324
MGYG000000032,LCOG0188,143928466,0,182242187,76743501,0,58968287,144105237,130510990,109836922,0,156974469,139375702
MGYG000000032,LCOG0191,37055135.05,87254883,58790883.5,69662535.5,2010827,73886795.67,99812268,83408239,62261576,2324151,44535675.5,156979780.5
MGYG000000032,LCOG0197,172231054,89298388,161407515.3,89558532,52814032.5,147871187,180024107.5,120738928.7,63228757.5,83208350,200934353,112897996.9
MGYG000000032,LCOG0198,0,12115097,1500121,1414043,0,3112940,4884740,6600195,8642927,1462526,6884288,1441596
MGYG000000032,LCOG0205,64621031,0,45754154,30512202,2025314,72234969,66312360,47374533,53244634,0,65739213,91005088
MGYG000000032,LCOG0210,76947372,0,10981989,0,0,74627659,20914490,14479957,489569,0,75659856,53164171
MGYG000000032,LCOG0234,5123050,0,5936931.5,2426332,0,3734711,21610524,20613755.5,18059107.72,333784,16461404,46831082.37
MGYG000000032,LCOG0297,3962769,0,7439116,0,0,21009172,20448869,15630708,7233170,0,2090676,62148757
MGYG000000032,LCOG0326,8494029,0,12534084,9985458,0,18052247,29407405,16403457,26482938,0,11425977,14083399
