,DC.M.48.1,DC.H.48.1,NZ.H.48.1,AZ.M.48.1,NZ.M.48.3,AZ.L.48.1,AZ.M.48.2,PR.L.48.1,NZ.H.48.2,CP.L.48.1,NZ.L.48.3,CP.H.48.3,NZ.H.48.3,DC.M.48.2,NC.1D.48.1,DC.H.48.2,PR.L.48.3,PR.M.48.1,DC.L.48.1,PR.M.48.2,PR.H.48.1,CP.M.48.1,NC.1D.48.2,CP.M.48.2,AZ.L.48.2,AZ.H.48.1,CP.L.48.2,PR.L.48.2,PR.M.48.3,NZ.M.48.2,NZ.L.48.1,DC.L.48.2,AZ.L.48.3,AZ.H.48.2,NZ.M.48.1,NZ.L.48.2,DC.L.48.3,CP.L.48.3,DC.H.48.3,PR.H.48.2,CP.H.48.2,CP.M.48.3,PR.H.48.3,DC.M.48.3,AZ.H.48.3,NC.1D.48.3,CP.H.48.1,AZ.M.48.3
DC.H.48.3,12392169237.6472,6409794055.66979,15321289351.5066,14604764874.0348,22738875187.4842,15034531396.7702,14830442438.2747,16979994188.7866,14826339111.6225,16346313259.856,20966120758.9271,13254532674.5102,14862107150.7434,13167835704.2489,13863756197.496,3785693784.14903,19658824057.5057,15050165938.2222,20107824593.9133,16564669768.0944,15546897398.5644,13550732845.5112,22143787498.6105,13411282131.3936,16167255450.227,12504102226.7047,20527913329.6688,17772538032.3897,17899801322.7177,17711781956.0151,18832341855.004,16350138553.6563,20004790513.7955,11519346626.6672,26378223318.2556,17415158056.6781,14122722409.166,16105028857.1109,0,14182760847.4523,13278536061.2243,13343360648.691,17679418737.7254,12663225154.517,11194143374.6942,18980107329.178,13477105017.1401,13267787578.7342
PR.H.48.2,5230955358.95788,14493039504.4316,5468202065.58755,5442817006.77397,15086188257.6498,4455450103.90092,4275283837.51423,7209649367.84376,5072247531.04054,7150206298.53791,11277256682.4922,11453537014.0276,5072046627.81411,5172090148.97421,5310407323.14222,13118031001.4405,10412392552.0888,4432654744.06164,11084401575.9518,7180115493.95694,4146161717.09566,11745886644.0437,13091471304.8563,11569622013.0606,4981204199.21981,5437962577.53375,11916650158.1733,7961617095.28143,6780519374.81209,7435061239.23062,9302770120.34078,7071247848.95396,11427099211.4037,7926671857.73537,18611268634.4294,6749881396.67733,4157116597.02404,7922448919.7866,14182760847.4523,0,11418528420.3172,11460544065.5894,8088512529.80581,5711999886.35587,6589219693.0163,10937917572.8997,11657539335.4697,9624429363.9866
CP.H.48.2,11914424485.7546,13819265141.3973,14406794826.6943,12835381717.0411,24745129824.2953,12111519158.1772,12190187723.5057,16453417908.9961,12872970845.4825,13237192116.6239,21225477243.1368,920302275.525643,12241771583.005,13459159377.873,11028325435.8052,11093879275.8802,20415463652.2043,12447537379.761,20563381877.1255,15910128665.5363,13699160872.9964,1567900531.56806,23185512154.6512,680669866.024249,14243902281.5262,9234526517.67114,20496506261.9848,17514929937.4267,17018890908.4223,16911781988.8083,18352528292.0603,15992888206.4459,20685711285.1756,14784347631.7336,28024747399.0296,16101374231.7528,11634900034.2091,15008996918.4608,13278536061.2243,11418528420.3172,0,1105083854.88906,17983219580.3399,13591863230.5982,11931051578.8446,20197349663.0722,891096080.266124,17098796757.3785
CP.M.48.3,11989059096.5154,13885477621.7252,14495224730.5557,12891810788.8393,24783388290.0392,12163663842.3168,12236489656.3759,16509772168.178,12946113220.6452,13269274083.644,21282873410.2975,1172181533.15122,12317291783.3132,13538938083.6194,11095199705.7078,11174299813.6166,20459708551.662,12490824650.6292,20587331877.1648,15974234370.4396,13731649418.0768,1906635214.64266,23218405917.5598,1444241738.61209,14274806362.2127,9299995585.35302,20573032500.9001,17561899382.0579,17067913587.173,16923489719.0988,18391689832.2533,16060702490.8369,20736563654.4736,14835587024.2846,28002996618.4567,16171360507.9048,11707448796.2506,15083505346.3901,13343360648.691,11460544065.5894,1105083854.88906,0,18032251701.8397,13687984107.7791,11984876543.9185,20245072357.0966,1027627895.40734,17168017419.3678
PR.H.48.3,8151957368.56205,17730978858.2396,6679477212.5823,9362545145.89968,11307854018.4291,9324642152.75419,8566617489.23405,6774264600.84039,7603748993.2051,11221286357.2818,8497386937.58961,17982436327.8876,7919184459.9433,7407677060.55428,9780972900.74576,17526381225.1204,7677383137.37689,8942459388.90779,8545555532.47775,7899447848.15987,6966405662.86463,18310438584.0825,9771589103.68706,18136154684.1711,7873880306.06328,10415803442.3735,11642274558.177,8124626271.8625,6661748983.77458,6905259327.12231,7270372327.28356,7356168870.04082,9288074670.55861,9473465495.35181,14416069614.5559,8287471475.92342,8545995058.82126,10350618527.962,17679418737.7254,8088512529.80581,17983219580.3399,18032251701.8397,0,7057949833.45344,9842799788.29826,8932348235.8229,18251996541.9278,9735068885.05911
DC.M.48.3,3423597194.17538,12852245544.0363,4822183596.76301,6667771261.9057,13576515173.5841,6879287458.87241,6278147109.39234,6734829560.09976,4885919901.66135,9056496754.35345,10702421070.4548,13582828022.946,5728409629.68035,3463167245.19961,6557272139.16184,12466859404.8232,9386759049.84201,6729263186.02513,10204203158.0164,7123356519.73654,5850532324.79965,13951675402.2225,12112733200.1828,13742122650.1523,6732899486.25809,6765184275.95693,11947783465.9814,8227278059.98476,7276476251.73514,7709361539.25583,9044960577.56598,6447017142.84467,10610129356.9397,5931609215.69606,17293903915.3334,7781170419.51789,5742037363.26707,8478299039.69761,12663225154.517,5711999886.35587,13591863230.5982,13687984107.7791,7057949833.45344,0,6027028690.06732,9809494255.21249,13888496197.4214,7467347048.17454
AZ.H.48.3,5468614906.63885,10678973058.8061,7419353730.19417,7047674149.7527,15335132221.6725,7774157758.4343,6514886704.3768,9608299970.84685,7131702926.46358,9789171954.83487,12815273027.2878,11906650467.9734,6584914823.14655,5825909976.68641,7652602155.25183,10639680424.0553,12461812551.9847,7948801461.86201,11995771096.0883,8212817565.89785,6945143010.32004,12301154319.8294,15180095818.3797,12078736616.3341,8218952198.52802,5362439235.521,13890121597.7855,10562818448.69,10149726023.2015,9916871331.43054,11091379149.0854,9278066694.02986,12809056067.6556,5846870314.44077,19823131676.6415,9880815218.53802,6942193127.66005,8365616672.1039,11194143374.6942,6589219693.0163,11931051578.8446,11984876543.9185,9842799788.29826,6027028690.06732,0,12362342910.9201,12224439956.5965,7846873133.68828
NC.1D.48.3,10933365672.2625,19143090429.5926,8914932935.48235,8804236500.63206,9948479142.75995,9830020897.74806,10733445139.9659,7387541907.53043,10755909456.2053,11825735479.2232,7660581489.74845,20208718416.3799,11155975234.5663,9419944532.53901,10639026384.8143,18999064985.9002,6605525323.41805,9359238035.6272,6558552964.62944,8154284820.43976,9215198272.23307,20485522399.0684,7997578418.63962,20339908606.3904,9400396538.32728,13455495300.2499,9871875477.46,5458931044.86561,7277862654.68564,6011710781.37274,6599157451.14592,6273555972.42448,4854159282.75624,10555316431.6735,10902724917.81,6764827255.21203,10090596832.3158,10705175488.2274,18980107329.178,10937917572.8997,20197349663.0722,20245072357.0966,8932348235.8229,9809494255.21249,12362342910.9201,0,20412342352.7123,9379428978.51368
CP.H.48.1,12214285275.3072,14014845592.7969,14691348162.407,13076667533.6122,24970750597.8813,12333469620.1499,12453876266.3279,16682488520.2362,13151835590.8865,13405431924.1838,21444714312.4205,1117814942.35941,12517201905.117,13743168206.6207,11259801079.212,11276185377.3095,20640839589.276,12657372343.1599,20796995655.2878,16156259742.4132,13941449040.2388,1602045365.86336,23400990851.9182,973463864.781327,14479874157.6472,9533836406.70051,20718395337.9685,17714035926.4234,17250142185.9947,17126110594.8509,18564551253.1624,16232026975.9911,20921144579.8414,15050152771.5694,28221699117.508,16325724145.7086,11870323283.7961,15236575793.388,13477105017.1401,11657539335.4697,891096080.266124,1027627895.40734,18251996541.9278,13888496197.4214,12224439956.5965,20412342352.7123,0,17366941885.3804
AZ.M.48.3,8634696022.76273,13589936705.7176,9132764334.72283,8699830359.29589,13118943709.9089,9924137874.33213,9420714213.05429,9413288969.2628,10286648802.5596,11058755736.1555,11367261777.5665,17104212312.4801,10700111900.4877,6782452926.40645,9862291437.28892,13602258391.9696,9904875773.09001,9966440608.97796,11136030284.1677,9132403591.60579,9162061834.53035,17428067534.3476,12505876559.2378,17252520034.9708,9439862520.19738,10514598678.1954,11779760747.0316,9377178681.4348,9546305377.86324,9665110200.33369,11104239988.8276,8972811203.31273,10332011015.9542,5354584143.93547,16402705420.648,9623407658.76052,9728199333.41418,9679446547.8531,13267787578.7342,9624429363.9866,17098796757.3785,17168017419.3678,9735068885.05911,7467347048.17454,7846873133.68828,9379428978.51368,17366941885.3804,0
