Genome,OG,LFQ intensity HiSF_14spcs_m04_2_147,LFQ intensity HiSF_14spcs_m06_2_148,LFQ intensity HiSF_14spcs_m07_2_149,LFQ intensity HiSF_14spcs_m10_2_150,LFQ intensity HiSF_14spcs_m13_2_151,LFQ intensity HiSF_15spcs_m03_1_132,LFQ intensity HiSF_15spcs_m07_1_133,LFQ intensity HiSF_15spcs_m09_1_134,LFQ intensity HiSF_15spcs_m14_1_136,LFQ intensity PEFi_14spcs_m00_0_127,LFQ intensity PEFi_14spcs_m01_1_128,LFQ intensity PEFi_14spcs_m02_1_129,LFQ intensity PEFi_14spcs_m04_1_130,LFQ intensity PEFi_14spcs_m13_1_131,LFQ intensity PEFi_15spcs_m05_2_142,LFQ intensity PEFi_15spcs_m08_2_143,LFQ intensity PEFi_15spcs_m09_2_144,LFQ intensity PEFi_15spcs_m12_2_145,LFQ intensity PEFi_15spcs_m14_2_146
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0493,11061600,7945900.0,4592700,5015600,8953460.0,5175800,245410.0,2818600.0,1731350,92795000.0,72857000,105804000.0,100156000.0,65635000.0,36284000,72348000,73608000.0,29807400.0,46616000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0495,926020,0.0,0,682520,1203900.0,0,0.0,2390900.0,273790,7679800.0,7833200,6594100.0,3995200.0,4239300.0,8121800,3914200,7177400.0,4418500.0,2756400
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0496,530490,0.0,0,0,622900.0,0,2555900.0,3451400.0,0,440780.0,0,1327400.0,1529500.0,514080.0,977590,0,0.0,848470.0,198850
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0497,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,448450,668420.0,0.0,371770.0,399750,0,0.0,390020.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0498,2532800,305120.0,2139700,0,0.0,0,0.0,277250.0,911390,0.0,2396600,2787700.0,2135000.0,1475900.0,0,1445500,0.0,0.0,1964000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0499,0,2495600.0,0,2958100,2529200.0,2407000,2038300.0,2796900.0,2321500,1709000.0,2221900,2169300.0,2068200.0,1833700.0,2615800,2195100,2756900.0,3029900.0,2967300
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0504,0,1281900.0,0,0,0.0,0,0.0,0.0,0,2918900.0,0,1499800.0,381050.0,5385800.0,0,0,2860000.0,724800.0,577790
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0506,0,0.0,2590800,0,0.0,0,0.0,0.0,0,1733300.0,1825600,2966100.0,0.0,994570.0,0,1825100,2226700.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0508,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,1134500,1327000.0,697200.0,741300.0,0,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0509,38758000,22512000.0,66189000,20748000,25208000.0,130950000,133440000.0,179710000.0,68890000,59320000.0,18936000,48099000.0,30374000.0,43332000.0,42196000,45968000,21990000.0,58096000.0,18198000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0511,740140,1434400.0,643460,1086600,0.0,15819000,24686000.0,16519000.0,12777000,60859700.0,51059700,77874200.0,53583200.0,50311700.0,49132400,65687000,65236900.0,45583300.0,42474000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0513,0,0.0,0,0,0.0,0,0.0,0.0,0,1969300.0,1524850,1920500.0,2319500.0,1669600.0,1284800,1657700,1193300.0,3016700.0,467830
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0514,3899900,5758000.0,0,0,261820.0,2771700,2298400.0,3189400.0,2809300,6307200.0,4185100,6409500.0,2561700.0,3371700.0,9023500,9121400,7480800.0,6458500.0,4849600
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0516,3474500,3089600.0,0,2515700,3370800.0,0,22790000.0,20082000.0,23603000,4742600.0,2945800,4284100.0,4142500.0,3586000.0,10254000,8525600,5742200.0,10387000.0,8568500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0517,3474500,3089600.0,0,2515700,3370800.0,0,22790000.0,20082000.0,23603000,4742600.0,2945800,4284100.0,4142500.0,3586000.0,10254000,8525600,5742200.0,10387000.0,8568500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0518,3165790,1804890.0,1115500,771140,2444070.0,2089900,0.0,3778200.0,4205500,2671300.0,1933400,2687000.0,2994800.0,1525810.0,3301480,1236910,2257080.0,1809900.0,2294100
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0519,3165790,1804890.0,1115500,771140,2444070.0,2089900,0.0,3778200.0,4205500,2671300.0,1933400,2687000.0,2994800.0,1525810.0,3301480,1236910,2257080.0,1809900.0,2294100
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0520,1962500,2454200.0,1401500,2689600,2696100.0,3307400,3114900.0,2055800.0,6294200,2691300.0,1546700,2003300.0,1545000.0,2424600.0,3976000,2539300,2307700.0,2437700.0,1629900
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0522,0,0.0,0,0,0.0,0,745440.0,0.0,347520,1986000.0,0,2807600.0,2664500.0,1695500.0,2085400,1377000,0.0,1375800.0,2726900
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0524,338990,445160.0,402380,323520,407550.0,1818500,0.0,3241600.0,1629500,531610.0,758450,932980.0,601710.0,689690.0,1013500,0,558550.0,1005900.0,552360
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0525,0,0.0,0,0,0.0,266920,694520.0,1026000.0,661880,1719800.0,2009100,2466000.0,1891400.0,1572300.0,1317500,681710,1178900.0,777610.0,618630
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0526,0,0.0,0,0,0.0,0,0.0,0.0,0,440050.0,416580,104700.0,0.0,0.0,936140,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0527,14049000,15239330.0,15859000,14935500,17231450.0,18433000,21070500.0,16225400.0,16020500,44387700.0,34039900,45170300.0,36654400.0,32553600.0,29388500,22377600,28177200.0,32750200.0,19492200
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0528,0,0.0,0,1162700,1060500.0,1061500,0.0,0.0,1025900,3387400.0,2711700,2218500.0,2544300.0,2408900.0,1438000,2038300,1364300.0,640080.0,2925600
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0532,100154300,125485100.0,111990000,101361110,103252010.0,68432800,81117300.0,99367800.0,90752800,102683000.0,87008400,96321900.0,93370100.0,78380200.0,113612800,75912300,81064300.0,100424900.0,70836500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0533,0,0.0,642940,0,0.0,0,0.0,0.0,0,107230.0,624910,0.0,0.0,0.0,191130,0,0.0,150760.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0538,7850200,2266600.0,12439000,8344200,4516700.0,12293000,6563200.0,8399600.0,9565900,8631200.0,8847100,9271000.0,9251400.0,9808100.0,16940000,6728700,9179000.0,7660500.0,4501700
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0539,158530000,183210000.0,195840000,209020000,164810000.0,228350000,132850000.0,141330000.0,123390000,553620000.0,500620000,548940000.0,449390000.0,454450000.0,304900000,459060000,469170000.0,295550000.0,425120000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0540,892850,0.0,879980,0,0.0,0,0.0,280250.0,0,0.0,0,0.0,0.0,0.0,0,0,211280.0,615680.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0541,0,0.0,0,0,0.0,0,0.0,0.0,0,198500.0,0,0.0,479190.0,0.0,429820,366590,0.0,665320.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0542,2961100,2071700.0,0,375510,0.0,0,0.0,0.0,0,11234000.0,7778200,3911400.0,2925600.0,9954700.0,9000900,2630300,4325600.0,5604000.0,4787000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0543,9825000,7695900.0,4104000,5015600,8446000.0,5175800,0.0,2818600.0,734450,38123000.0,26794000,45474000.0,37710000.0,27530000.0,18834000,27623000,36962000.0,21326000.0,25400000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0544,2121800,0.0,0,416610,0.0,109160,675730.0,0.0,0,22951000.0,16811000,18066000.0,14721000.0,13565000.0,20996000,6384100,5112600.0,9376500.0,4039300
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0545,4045300,11038000.0,4665910,2168800,3291000.0,6088500,14493000.0,6770630.0,13407000,14051190.0,11890200,4707800.0,13272200.0,5943670.0,9060500,4361140,6258700.0,4741100.0,4262500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0548,0,0.0,0,0,0.0,0,0.0,0.0,0,584160.0,0,437090.0,862260.0,0.0,0,0,0.0,543840.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0550,3768200,2675200.0,3343900,5631400,4185600.0,1790700,1825700.0,1317600.0,4316100,33740000.0,26256000,30192000.0,28701000.0,30742000.0,8625400,22876000,21579000.0,8297800.0,17262000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0552,19472000,15776000.0,12643000,13755000,9421300.0,7282000,8436300.0,10036000.0,10552000,10731000.0,8897000,10035000.0,11338000.0,9404300.0,14026000,19799000,9349800.0,14262000.0,8804600
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0557,1329500,0.0,0,0,0.0,0,425060.0,1167500.0,0,3509000.0,0,2493300.0,1847800.0,1796900.0,4414400,660770,0.0,8200400.0,473250
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0560,0,0.0,0,0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0561,1063200,0.0,2217300,0,0.0,2494400,1557100.0,2756880.0,2165900,2711070.0,697500,3634240.0,3501360.0,2977780.0,5355100,928580,783020.0,3779970.0,603350
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0564,0,0.0,0,0,838010.0,0,0.0,0.0,0,531210.0,263780,403620.0,288170.0,0.0,260760,424990,374960.0,239380.0,265010
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0572,0,2934600.0,2202500,0,1720200.0,0,0.0,3067900.0,2467800,2192600.0,670330,2593200.0,1107700.0,3116000.0,2782100,0,977560.0,2807400.0,1057500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0577,0,0.0,0,0,0.0,0,0.0,0.0,0,226040.0,131710,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0583,0,0.0,0,0,0.0,0,0.0,0.0,0,543810.0,0,258800.0,0.0,0.0,627460,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0584,0,3916100.0,408920,0,370910.0,225340,1619800.0,1603600.0,1222700,12159000.0,9947400,13348000.0,16798000.0,12609000.0,6228000,5892400,8838800.0,3957300.0,6385500
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0586,0,0.0,0,0,0.0,0,0.0,0.0,0,646880.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0588,0,0.0,0,0,0.0,2022800,0.0,0.0,0,3376200.0,3857400,4453200.0,3215300.0,2341300.0,796960,1269800,2233900.0,0.0,2532000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0589,51159000,49009000.0,61000000,41667000,59785000.0,16915000,33945000.0,47080000.0,36791000,101060000.0,92006000,119500000.0,101300000.0,96077000.0,109270000,83453000,118200000.0,86000000.0,75177000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0590,0,1047100.0,0,979870,0.0,0,0.0,0.0,0,1433300.0,1340400,1916900.0,1366100.0,1219200.0,3151100,1141400,1168600.0,2263500.0,1088600
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0591,0,0.0,232220,0,0.0,332850,0.0,0.0,4111500,0.0,0,0.0,398150.0,0.0,0,364270,388720.0,771510.0,171800
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0592,47645000,55174000.0,59972000,56372000,51576000.0,29703000,34976000.0,36593000.0,53562000,54811000.0,46582000,49764000.0,58892000.0,35635000.0,49700000,67142000,61740000.0,63029000.0,63464000
Bacteroides_thetaiotaomicron_VPI-5482,LCOG0599,890100,0.0,0,0,1996000.0,0,0.0,0.0,0,587440.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0
